Date,Evidence,Our Status,Met Status,Notes
2024-06-01,Yes,Clear,Fair,Moderate air traffic with no plane trails
2024-06-02,Yes,Clear,Fair,Moderate air traffic with the occasional small condensation trail (less than 5x length of plane) 
2024-06-03,Yes,Geo-Engineering,Cloudy,Full grid mode with chemtrails from a multitude of planes - flight tracking and photos on numerous routes including EasyJet from Porto to London and Paris to New York - commercial planes dispersing
2024-06-04,Yes,Cloudy (heavy),Cloudy,Early morning commercial plane trails to the south-west - lighter dispersal than 2024-06-03 that stopped before 13:00 - skies clearing towards the evening 
2024-06-05,Yes,Clear,Fair,Moderate air traffic with no plane trails
2024-06-06,Yes,Clear,Fair,Moderate air traffic with no plane trails
2024-06-07,Yes,Clear,Fair,Moderate air traffic with the occasional small condensation trail (less than 5x length of plane)
2024-06-08,Yes,Clear,Cloudy at times sunny periods with the chance of a light shower,Moderate air traffic with no plane trails
2024-06-09,Yes,Clear,Sunny North to northeast light F3 occasionally moderate F4 at first,TBC
2024-06-10,,,,
2024-06-11,,,,
2024-06-12,,,,
2024-06-13,,,,
2024-06-14,,,,
2024-06-15,,,,
2024-06-16,,,,
2024-06-17,,,,
2024-06-18,,,,
2024-06-19,,,,
2024-06-20,,,,
2024-06-21,,,,
2024-06-22,,,,
2024-06-23,,,,
2024-06-24,,,,
2024-06-25,,,,
2024-06-26,,,,
2024-06-27,,,,
2024-06-28,,,,
2024-06-29,,,,
2024-06-30,,,,
